name,id,trainID,category,catID,hasinstances,ignoreInEval,color
unlabeled,0,255,void,0,FALSE,TRUE,"(0, 0, 0)"
ego vehicle,1,255,void,0,FALSE,TRUE,"(0, 0, 0)"
rectification border,2,255,void,0,FALSE,TRUE,"(0, 0, 0)"
out of roi,3,255,void,0,FALSE,TRUE,"(0, 0, 0)"
static,4,255,void,0,FALSE,TRUE,"(0, 0, 0)"
dynamic,5,255,void,0,FALSE,TRUE,"(111, 74, 0)"
ground,6,255,void,0,FALSE,TRUE,"(81, 0, 81)"
road,7,0,flat,1,FALSE,FALSE,"(128, 64, 128)"
sidewalk,8,1,flat,1,FALSE,FALSE,"(244, 35, 232)"
parking,9,255,flat,1,FALSE,TRUE,"(250, 170, 160)"
rail track,10,255,flat,1,FALSE,TRUE,"(230, 150, 140)"
building,11,2,construction,2,FALSE,FALSE,"(70, 70, 70)"
wall,12,3,construction,2,FALSE,FALSE,"(102, 102, 156)"
fence,13,4,construction,2,FALSE,FALSE,"(190, 153, 153)"
guard rail,14,255,construction,2,FALSE,TRUE,"(180, 165, 180)"
bridge,15,255,construction,2,FALSE,TRUE,"(150, 100, 100)"
tunnel,16,255,construction,2,FALSE,TRUE,"(150, 120, 90)"
pole,17,5,object,3,FALSE,FALSE,"(153, 153, 153)"
polegroup,18,255,object,3,FALSE,TRUE,"(153, 153, 153)"
traffic light,19,6,object,3,FALSE,FALSE,"(250, 170, 30)"
traffic sign,20,7,object,3,FALSE,FALSE,"(220, 220, 0)"
vegetation,21,8,nature,4,FALSE,FALSE,"(107, 142, 35)"
terrain,22,9,nature,4,FALSE,FALSE,"(152, 251, 152)"
sky,23,10,sky,5,FALSE,FALSE,"(70, 130, 180)"
person,24,11,human,6,TRUE,FALSE,"(220, 20, 60)"
rider,25,12,human,6,TRUE,FALSE,"(255, 0, 0)"
car,26,13,vehicle,7,TRUE,FALSE,"(0, 0, 142)"
truck,27,14,vehicle,7,TRUE,FALSE,"(0, 0, 70)"
bus,28,15,vehicle,7,TRUE,FALSE,"(0, 60, 100)"
caravan,29,255,vehicle,7,TRUE,TRUE,"(0, 0, 90)"
trailer,30,255,vehicle,7,TRUE,TRUE,"(0, 0, 110)"
train,31,16,vehicle,7,TRUE,FALSE,"(0, 80, 100)"
motorcycle,32,17,vehicle,7,TRUE,FALSE,"(0, 0, 230)"
bicycle,33,18,vehicle,7,TRUE,FALSE,"(119, 11, 32)"
license plate,-1,-1,vehicle,7,FALSE,TRUE,"(0, 0, 142)"
